IOID,ActivityID,ParamID,ParamName,Value,IsResource,IsInput,IsRead,IsWrite
d0ec3df0-eb49-11ec-9c30-a44cc83e0d72,d0eb7bb3-eb49-11ec-a2ea-a44cc83e0d72,d05ba6eb-eb49-11ec-86fd-a44cc83e0d72,uri,https://www.aviationweather.gov/adds/dataserver_current/current/metars.cache.csv.gz,True,True,True,
d0ee1083-eb49-11ec-ae03-a44cc83e0d72,d0eb7bb3-eb49-11ec-a2ea-a44cc83e0d72,d05d0674-eb49-11ec-a78f-a44cc83e0d72,output_folder,C:\Users\jswise\TerraconPython\ClothoDemo,True,True,,
d0ef34b6-eb49-11ec-a448-a44cc83e0d72,d0eb7bb3-eb49-11ec-a2ea-a44cc83e0d72,d05e17e5-eb49-11ec-8e3b-a44cc83e0d72,min_interval,15,,True,,
d17d5216-eb49-11ec-898a-a44cc83e0d72,d0eb7bb3-eb49-11ec-a2ea-a44cc83e0d72,d05f2970-eb49-11ec-9c8e-a44cc83e0d72,output_file,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.gz,True,False,,1.0
d17e8ac5-eb49-11ec-a9dd-a44cc83e0d72,d17e8ac4-eb49-11ec-a7ab-a44cc83e0d72,d066f190-eb49-11ec-9138-a44cc83e0d72,gz_file,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.gz,True,True,True,
d1803878-eb49-11ec-ba80-a44cc83e0d72,d17e8ac4-eb49-11ec-a7ab-a44cc83e0d72,d0682a09-eb49-11ec-af83-a44cc83e0d72,min_interval,15,,True,,
d188eb08-eb49-11ec-a97b-a44cc83e0d72,d17e8ac4-eb49-11ec-a7ab-a44cc83e0d72,d06989a4-eb49-11ec-8f1f-a44cc83e0d72,output_path,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.csv,True,False,,1.0
d189fc4b-eb49-11ec-b173-a44cc83e0d72,d189fc4a-eb49-11ec-8e7d-a44cc83e0d72,d07d0101-eb49-11ec-8a90-a44cc83e0d72,metar_csv,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.csv,True,True,True,
d18c6eaf-eb49-11ec-a856-a44cc83e0d72,d189fc4a-eb49-11ec-8e7d-a44cc83e0d72,d07e60aa-eb49-11ec-8d6c-a44cc83e0d72,db,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite,True,True,,
d1a815ce-eb49-11ec-9d29-a44cc83e0d72,d189fc4a-eb49-11ec-8e7d-a44cc83e0d72,d07f9956-eb49-11ec-b42c-a44cc83e0d72,METARs,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/METARs,True,False,,1.0
d1bb9d9f-eb49-11ec-b254-a44cc83e0d72,d1bb2868-eb49-11ec-a7d9-a44cc83e0d72,d08873b5-eb49-11ec-8d0a-a44cc83e0d72,uri,https://www.nohrsc.noaa.gov/data/vector/master/ski_areas_all.tar.gz,True,True,,
d1bdbf5c-eb49-11ec-b53a-a44cc83e0d72,d1bb2868-eb49-11ec-a7d9-a44cc83e0d72,d089ab69-eb49-11ec-a95b-a44cc83e0d72,output_path,C:\Users\jswise\TerraconPython\ClothoDemo/SkiAreas.tar.gz,True,True,,1.0
d1bed15a-eb49-11ec-afda-a44cc83e0d72,d1bb2868-eb49-11ec-a7d9-a44cc83e0d72,d08ae3bc-eb49-11ec-9195-a44cc83e0d72,overwrite,False,,True,,
d285cb06-eb49-11ec-8cee-a44cc83e0d72,d285cb05-eb49-11ec-be27-a44cc83e0d72,d092ad69-eb49-11ec-942d-a44cc83e0d72,tar_file,C:\Users\jswise\TerraconPython\ClothoDemo/SkiAreas.tar.gz,True,True,True,
d28752a1-eb49-11ec-b450-a44cc83e0d72,d285cb05-eb49-11ec-be27-a44cc83e0d72,d093e49f-eb49-11ec-ba39-a44cc83e0d72,output_path,C:\Users\jswise\TerraconPython\ClothoDemo,True,True,,
d289e92a-eb49-11ec-aed3-a44cc83e0d72,d285cb05-eb49-11ec-be27-a44cc83e0d72,d0954473-eb49-11ec-98a5-a44cc83e0d72,ski_shp,C:\Users\jswise\TerraconPython\ClothoDemo/ski_areas_all.shp,True,True,,1.0
d292ea03-eb49-11ec-8ef2-a44cc83e0d72,d292ea02-eb49-11ec-8b53-a44cc83e0d72,d09c9725-eb49-11ec-8015-a44cc83e0d72,ski_shp,C:\Users\jswise\TerraconPython\ClothoDemo/ski_areas_all.shp,True,True,True,
d2942257-eb49-11ec-ae8c-a44cc83e0d72,d292ea02-eb49-11ec-8b53-a44cc83e0d72,d09e1f0a-eb49-11ec-bb5f-a44cc83e0d72,db,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite,True,True,,
d296bb81-eb49-11ec-a34a-a44cc83e0d72,d292ea02-eb49-11ec-8b53-a44cc83e0d72,d09f7ea0-eb49-11ec-b121-a44cc83e0d72,SkiAreas,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreas,True,True,,1.0
d363110c-eb49-11ec-ae91-a44cc83e0d72,d363110b-eb49-11ec-bf5b-a44cc83e0d72,d0abb3ad-eb49-11ec-bf95-a44cc83e0d72,data_path,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreas,True,True,True,1.0
d379a61f-eb49-11ec-84ba-a44cc83e0d72,d379a61e-eb49-11ec-9060-a44cc83e0d72,d0a6340a-eb49-11ec-8f38-a44cc83e0d72,data_path,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreas,True,True,True,1.0
d38a20d4-eb49-11ec-8b28-a44cc83e0d72,d38a20d3-eb49-11ec-9ae8-a44cc83e0d72,d05ba6eb-eb49-11ec-86fd-a44cc83e0d72,uri,https://www.aviationweather.gov/adds/dataserver_current/current/metars.cache.csv.gz,True,True,True,
d38b3376-eb49-11ec-8e8e-a44cc83e0d72,d38a20d3-eb49-11ec-9ae8-a44cc83e0d72,d05d0674-eb49-11ec-a78f-a44cc83e0d72,output_folder,C:\Users\jswise\TerraconPython\ClothoDemo,True,True,,
d38c44e5-eb49-11ec-b549-a44cc83e0d72,d38a20d3-eb49-11ec-9ae8-a44cc83e0d72,d05e17e5-eb49-11ec-8e3b-a44cc83e0d72,min_interval,15,,True,,
d390d7aa-eb49-11ec-a141-a44cc83e0d72,d38a20d3-eb49-11ec-9ae8-a44cc83e0d72,d05f2970-eb49-11ec-9c8e-a44cc83e0d72,output_file,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.gz,True,False,,1.0
d391e911-eb49-11ec-8465-a44cc83e0d72,d391c1fe-eb49-11ec-a4b4-a44cc83e0d72,d066f190-eb49-11ec-9138-a44cc83e0d72,gz_file,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.gz,True,True,True,
d3936fbe-eb49-11ec-8509-a44cc83e0d72,d391c1fe-eb49-11ec-a4b4-a44cc83e0d72,d0682a09-eb49-11ec-af83-a44cc83e0d72,min_interval,15,,True,,
d3993c83-eb49-11ec-a279-a44cc83e0d72,d391c1fe-eb49-11ec-a4b4-a44cc83e0d72,d06989a4-eb49-11ec-8f1f-a44cc83e0d72,output_path,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.csv,True,False,,1.0
d39a9bcf-eb49-11ec-b968-a44cc83e0d72,d39a9bce-eb49-11ec-b006-a44cc83e0d72,d072a0c1-eb49-11ec-ba12-a44cc83e0d72,metar_csv,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.csv,True,True,True,
d39bd424-eb49-11ec-a503-a44cc83e0d72,d39a9bce-eb49-11ec-b006-a44cc83e0d72,d073b229-eb49-11ec-bca6-a44cc83e0d72,db,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite,True,True,,
d45b604c-eb49-11ec-9a6f-a44cc83e0d72,d39a9bce-eb49-11ec-b006-a44cc83e0d72,d074c3a4-eb49-11ec-b720-a44cc83e0d72,Weather Stations,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/WxStations,True,False,,1.0
d45c97a2-eb49-11ec-9bb4-a44cc83e0d72,d45c7245-eb49-11ec-bb04-a44cc83e0d72,d0b74b1b-eb49-11ec-b74d-a44cc83e0d72,db,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite,True,True,,
d45da909-eb49-11ec-8886-a44cc83e0d72,d45c7245-eb49-11ec-bb04-a44cc83e0d72,d0b8f8c2-eb49-11ec-92cf-a44cc83e0d72,Weather Stations,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/WxStations,True,True,True,
d45ee236-eb49-11ec-86fb-a44cc83e0d72,d45c7245-eb49-11ec-bb04-a44cc83e0d72,d0ba7f6d-eb49-11ec-917b-a44cc83e0d72,SkiAreas,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreas,True,True,True,
d4612b7e-eb49-11ec-ace8-a44cc83e0d72,d45c7245-eb49-11ec-bb04-a44cc83e0d72,d0bc7b63-eb49-11ec-ae25-a44cc83e0d72,SkiAreaWxStations,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreaWxStations,True,True,,1.0
d492010f-eb49-11ec-ad26-a44cc83e0d72,d492010e-eb49-11ec-8c35-a44cc83e0d72,d0c750aa-eb49-11ec-8f6a-a44cc83e0d72,db,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite,True,True,,
d493398b-eb49-11ec-9b04-a44cc83e0d72,d492010e-eb49-11ec-8c35-a44cc83e0d72,d0c88928-eb49-11ec-9aaa-a44cc83e0d72,output_folder,C:\Users\jswise\TerraconPython\ClothoDemo,True,True,,
d494728f-eb49-11ec-8f6a-a44cc83e0d72,d492010e-eb49-11ec-8c35-a44cc83e0d72,d0c9c1a3-eb49-11ec-b644-a44cc83e0d72,METARs,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/METARs,True,True,True,
d4958387-eb49-11ec-bcc4-a44cc83e0d72,d492010e-eb49-11ec-8c35-a44cc83e0d72,d0cb214d-eb49-11ec-b28e-a44cc83e0d72,SkiAreaWxStations,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreaWxStations,True,True,True,
d4a0e343-eb49-11ec-9e41-a44cc83e0d72,d492010e-eb49-11ec-8c35-a44cc83e0d72,d0cc59c3-eb49-11ec-85b8-a44cc83e0d72,area_metars,C:\Users\jswise\TerraconPython\ClothoDemo/C:\Users\jswise\TerraconPython\ClothoDemo\KMWN.csv,True,False,,1.0
dede5fae-eb49-11ec-9a3a-a44cc83e0d72,dedd7687-eb49-11ec-9bbb-a44cc83e0d72,d05ba6eb-eb49-11ec-86fd-a44cc83e0d72,uri,https://www.aviationweather.gov/adds/dataserver_current/current/metars.cache.csv.gz,True,True,True,
dee08271-eb49-11ec-9cd5-a44cc83e0d72,dedd7687-eb49-11ec-9bbb-a44cc83e0d72,d05d0674-eb49-11ec-a78f-a44cc83e0d72,output_folder,C:\Users\jswise\TerraconPython\ClothoDemo,True,True,,
dee19547-eb49-11ec-b0ca-a44cc83e0d72,dedd7687-eb49-11ec-9bbb-a44cc83e0d72,d05e17e5-eb49-11ec-8e3b-a44cc83e0d72,min_interval,15,,True,,
dee7bfdb-eb49-11ec-b44f-a44cc83e0d72,dedd7687-eb49-11ec-9bbb-a44cc83e0d72,d05f2970-eb49-11ec-9c8e-a44cc83e0d72,output_file,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.gz,True,False,,1.0
dee9467d-eb49-11ec-89be-a44cc83e0d72,dee9467c-eb49-11ec-8a4f-a44cc83e0d72,d066f190-eb49-11ec-9138-a44cc83e0d72,gz_file,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.gz,True,True,True,
deeaa4a6-eb49-11ec-b7cb-a44cc83e0d72,dee9467c-eb49-11ec-8a4f-a44cc83e0d72,d0682a09-eb49-11ec-af83-a44cc83e0d72,min_interval,15,,True,,
def15b74-eb49-11ec-a2d6-a44cc83e0d72,dee9467c-eb49-11ec-8a4f-a44cc83e0d72,d06989a4-eb49-11ec-8f1f-a44cc83e0d72,output_path,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.csv,True,False,,1.0
def293f6-eb49-11ec-ba6d-a44cc83e0d72,def293f5-eb49-11ec-8f7b-a44cc83e0d72,d07d0101-eb49-11ec-8a90-a44cc83e0d72,metar_csv,C:\Users\jswise\TerraconPython\ClothoDemo/METARs_2022-06-13T185121Z.csv,True,True,True,
def5c83e-eb49-11ec-bb62-a44cc83e0d72,def293f5-eb49-11ec-8f7b-a44cc83e0d72,d07e60aa-eb49-11ec-8d6c-a44cc83e0d72,db,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite,True,True,,
df04205c-eb49-11ec-8646-a44cc83e0d72,def293f5-eb49-11ec-8f7b-a44cc83e0d72,d07f9956-eb49-11ec-b42c-a44cc83e0d72,METARs,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/METARs,True,False,,1.0
df1a687a-eb49-11ec-97a2-a44cc83e0d72,df19cc3f-eb49-11ec-bd86-a44cc83e0d72,d08873b5-eb49-11ec-8d0a-a44cc83e0d72,uri,https://www.nohrsc.noaa.gov/data/vector/master/ski_areas_all.tar.gz,True,True,,
df1c8b5d-eb49-11ec-825f-a44cc83e0d72,df19cc3f-eb49-11ec-bd86-a44cc83e0d72,d089ab69-eb49-11ec-a95b-a44cc83e0d72,output_path,C:\Users\jswise\TerraconPython\ClothoDemo/SkiAreas.tar.gz,True,True,,1.0
df1dc2e0-eb49-11ec-924f-a44cc83e0d72,df19cc3f-eb49-11ec-bd86-a44cc83e0d72,d08ae3bc-eb49-11ec-9195-a44cc83e0d72,overwrite,False,,True,,
df2319fa-eb49-11ec-8ccc-a44cc83e0d72,df2319f9-eb49-11ec-a1ef-a44cc83e0d72,d092ad69-eb49-11ec-942d-a44cc83e0d72,tar_file,C:\Users\jswise\TerraconPython\ClothoDemo/SkiAreas.tar.gz,True,True,True,
df242d5b-eb49-11ec-8eee-a44cc83e0d72,df2319f9-eb49-11ec-a1ef-a44cc83e0d72,d093e49f-eb49-11ec-ba39-a44cc83e0d72,output_path,C:\Users\jswise\TerraconPython\ClothoDemo,True,True,,
df26ee4e-eb49-11ec-bf13-a44cc83e0d72,df2319f9-eb49-11ec-a1ef-a44cc83e0d72,d0954473-eb49-11ec-98a5-a44cc83e0d72,ski_shp,C:\Users\jswise\TerraconPython\ClothoDemo/ski_areas_all.shp,True,True,,1.0
df2e4671-eb49-11ec-9058-a44cc83e0d72,df2e4670-eb49-11ec-9e5f-a44cc83e0d72,d09c9725-eb49-11ec-8015-a44cc83e0d72,ski_shp,C:\Users\jswise\TerraconPython\ClothoDemo/ski_areas_all.shp,True,True,True,
df2f7f00-eb49-11ec-b2b5-a44cc83e0d72,df2e4670-eb49-11ec-9e5f-a44cc83e0d72,d09e1f0a-eb49-11ec-bb5f-a44cc83e0d72,db,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite,True,True,,
df32185d-eb49-11ec-a55c-a44cc83e0d72,df2e4670-eb49-11ec-9e5f-a44cc83e0d72,d09f7ea0-eb49-11ec-b121-a44cc83e0d72,SkiAreas,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreas,True,True,,1.0
df3b70e1-eb49-11ec-8d77-a44cc83e0d72,df3b70e0-eb49-11ec-97b6-a44cc83e0d72,d0abb3ad-eb49-11ec-bf95-a44cc83e0d72,data_path,C:\Users\jswise\TerraconPython\ClothoDemo/SkiWeather.sqlite/SkiAreas,True,True,True,1.0
